;year;month;day;tmax;tmin;prcp
0;2010;1;5;;;0
1;2010;1;7;;;0
2;2010;1;12;;;0
3;2010;1;14;;;0
4;2010;1;15;;;0
5;2010;1;18;;;0
6;2010;1;19;;;0
7;2010;1;20;;;0
8;2010;1;21;;;0
9;2010;1;22;;;0
10;2010;1;23;;;0
11;2010;1;25;;;0
12;2010;1;26;;;0
13;2010;1;27;;;0
14;2010;1;28;;;0
15;2010;1;29;;;0
16;2010;1;30;278.0;145.0;0
17;2010;2;2;273.0;144.0;0
18;2010;2;3;241.0;144.0;0
19;2010;2;6;;;0
20;2010;2;7;;;0
21;2010;2;9;;;0
22;2010;2;11;297.0;134.0;0
23;2010;2;13;;;0
24;2010;2;20;;;0
25;2010;2;23;299.0;107.0;0
26;2010;2;25;;;0
27;2010;3;2;;;0
28;2010;3;4;;;0
29;2010;3;5;321.0;142.0;0
30;2010;3;6;;;0
31;2010;3;9;;;0
32;2010;3;10;345.0;168.0;0
33;2010;3;11;;;0
34;2010;3;12;;;0
35;2010;3;13;;;0
36;2010;3;16;311.0;176.0;0
37;2010;3;17;;;0
38;2010;3;19;;;0
39;2010;3;20;;;0
40;2010;3;23;;;0
41;2010;3;26;;;0
42;2010;3;27;;;0
43;2010;3;30;;;0
44;2010;4;1;;;0
45;2010;4;3;;;0
46;2010;4;6;;;0
47;2010;4;27;363.0;167.0;0
48;2010;4;30;;;0
49;2010;5;4;;;0
50;2010;5;6;;;0
51;2010;5;8;;;0
52;2010;5;11;;;0
53;2010;5;13;;;0
54;2010;5;18;;;0
55;2010;5;20;;;0
56;2010;5;27;332.0;182.0;0
57;2010;5;29;;;25
58;2010;5;30;;;0
59;2010;6;1;;;0
60;2010;6;2;;;0
61;2010;6;3;;;0
62;2010;6;4;;;0
63;2010;6;5;;;0
64;2010;6;8;;;13
65;2010;6;9;;;203
66;2010;6;10;;;0
67;2010;6;11;;;0
68;2010;6;12;;;0
69;2010;6;15;;;0
70;2010;6;16;;;0
71;2010;6;17;280.0;175.0;0
72;2010;6;18;;;0
73;2010;6;19;;;0
74;2010;6;20;;;145
75;2010;6;21;;;0
76;2010;6;22;;;234
77;2010;6;24;;;0
78;2010;6;25;;;13
79;2010;6;26;;;18
80;2010;6;27;;;0
81;2010;6;28;;;0
82;2010;6;29;301.0;180.0;0
83;2010;6;30;;;0
84;2010;7;3;286.0;175.0;307
85;2010;7;4;;;0
86;2010;7;6;;;76
87;2010;7;7;;;0
88;2010;7;13;;;0
89;2010;7;14;299.0;165.0;0
90;2010;7;15;;;0
91;2010;7;16;;;0
92;2010;7;17;;;147
93;2010;7;18;;;0
94;2010;7;20;;;5
95;2010;7;21;;;0
96;2010;7;22;;;58
97;2010;7;23;;;0
98;2010;7;27;;;0
99;2010;7;28;;;43
100;2010;7;29;;;0
101;2010;7;30;;;112
102;2010;7;31;;;0
103;2010;8;5;296.0;158.0;38
104;2010;8;6;;;5
105;2010;8;8;290.0;173.0;239
106;2010;8;9;;;0
107;2010;8;10;;;180
108;2010;8;12;;;168
109;2010;8;13;298.0;165.0;168
110;2010;8;14;;;185
111;2010;8;15;;;0
112;2010;8;17;;;132
113;2010;8;18;;;193
114;2010;8;20;;;117
115;2010;8;21;;;51
116;2010;8;22;;;145
117;2010;8;23;264.0;150.0;0
118;2010;8;24;;;0
119;2010;8;25;297.0;156.0;0
120;2010;8;26;;;432
121;2010;8;28;;;64
122;2010;8;29;280.0;153.0;188
123;2010;8;30;;;0
124;2010;8;31;254.0;154.0;0
125;2010;9;1;;;185
126;2010;9;2;;;56
127;2010;9;3;;;13
128;2010;9;4;;;175
129;2010;9;5;;;0
130;2010;9;6;;;277
131;2010;9;7;;;0
132;2010;9;8;;;345
133;2010;9;9;;;391
134;2010;9;10;;;353
135;2010;9;11;;;23
136;2010;9;12;;;0
137;2010;9;14;;;119
138;2010;9;15;;;0
139;2010;9;17;;;48
140;2010;9;18;;;10
141;2010;9;19;;;0
142;2010;9;20;;;361
143;2010;9;21;;;0
144;2010;9;22;;;0
145;2010;9;23;;;15
146;2010;9;24;;;147
147;2010;9;25;;;18
148;2010;9;26;;;0
149;2010;9;27;;;0
150;2010;9;28;;;0
151;2010;9;29;;;0
152;2010;9;30;;;0
153;2010;10;1;;;0
154;2010;10;2;;;0
155;2010;10;4;;;0
156;2010;10;5;270.0;140.0;0
157;2010;10;6;;;0
158;2010;10;7;281.0;129.0;0
159;2010;10;8;;;0
160;2010;10;9;;;0
161;2010;10;10;;;0
162;2010;10;11;;;0
163;2010;10;12;;;0
164;2010;10;13;;;0
165;2010;10;14;295.0;130.0;0
166;2010;10;15;287.0;105.0;0
167;2010;10;16;;;0
168;2010;10;17;;;0
169;2010;10;18;;;0
170;2010;10;19;;;0
171;2010;10;20;;;0
172;2010;10;21;;;0
173;2010;10;22;;;0
174;2010;10;23;;;0
175;2010;10;26;;;0
176;2010;10;27;;;0
177;2010;10;28;312.0;150.0;0
178;2010;10;29;;;0
179;2010;10;30;;;0
180;2010;10;31;;;0
181;2010;11;1;;;0
182;2010;11;2;313.0;163.0;0
183;2010;11;4;272.0;120.0;0
184;2010;11;5;263.0;79.0;0
185;2010;11;6;;;0
186;2010;11;8;;;0
187;2010;11;9;;;0
188;2010;11;10;;;0
189;2010;11;11;;;0
190;2010;11;12;;;0
191;2010;11;13;;;0
192;2010;11;16;;;0
193;2010;11;17;;;0
194;2010;11;18;;;0
195;2010;11;19;;;0
196;2010;11;22;;;0
197;2010;11;23;;;0
198;2010;11;24;;;0
199;2010;11;25;;;0
200;2010;11;26;281.0;121.0;0
201;2010;11;27;277.0;142.0;0
202;2010;11;30;;;0
203;2010;12;1;299.0;138.0;0
204;2010;12;2;;;0
205;2010;12;3;;;0
206;2010;12;6;278.0;105.0;0
207;2010;12;7;;;0
208;2010;12;8;;;0
209;2010;12;9;;;0
210;2010;12;10;;;0
211;2010;12;11;;;0
212;2010;12;14;;;0
213;2010;12;15;;;0
214;2010;12;16;;;0
215;2010;12;17;;;0
216;2010;12;19;;;0
217;2010;12;21;;;0
218;2010;12;23;;;0
219;2010;12;24;;;0
220;2010;12;28;;;0
221;2010;12;29;;;0
222;2010;12;30;;;0
223;2010;12;31;;;0
